fourletter_code,english_name,scientific_name
STSC,Stejneger's Scoter,Melanitta stejnegeri
STEI,Steller's Eider,Polysticta stelleri
STJA,Steller's Jay,Cyanocitta stelleri
STSE,Steller's Sea-Eagle,Haliaeetus pelagicus
STSA,Stilt Sandpiper,Calidris himantopus
STOF,Stolid Flycatcher,Myiarchus stolidus
STON,Stonechat,Saxicola torquatus
SGBW,Straight-billed Woodcreeper,Dendroplex picus
SBAO,Streak-backed Oriole,Icterus pustulatus
SBTR,Streak-breasted Treehunter,Thripadectes rufobrunneus
SCHA,Streak-chested Antpitta,Hylopezus perspicillatus
STCA,Streak-crowned Antvireo,Dysithamnus striaticeps
SHWO,Streak-headed Woodcreeper,Lepidocolaptes souleyetii
STRF,Streaked Flycatcher,Myiodynastes maculatus
SSAL,Streaked Saltator,Saltator striatipectus
STRS,Streaked Shearwater,Calonectris leucomelas
STXE,Streaked Xenops,Xenops rutilans
STRM,Streamertail,Trochilus polytmus
STRH,Striated Heron,Butorides striata
STCW,Strickland's Woodpecker,Dryobates stricklandi
SIBW,Stripe-breasted Wren,Cantorchilus thoracicus
SCHW,Stripe-cheeked Woodpecker,Piculus callopterus
SHSP,Stripe-headed Sparrow,Peucaea ruficauda
STHM,Stripe-tailed Hummingbird,Eupherusa eximia
STHR,Stripe-throated Hermit,Phaethornis striigularis
STWR,Stripe-throated Wren,Cantorchilus leucopogon
STCU,Striped Cuckoo,Tapera naevia
STRO,Striped Owl,Pseudoscops clamator
SSPA,Striped Sparrow,Oriturus superciliosus
STPW,Striped Woodhaunter,Automolus subulatus
SNBW,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus
SBTS,Stub-tailed Spadebill,Platyrinchus cancrominus
STOW,Stygian Owl,Asio stygius
SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris
SRFL,Sulphur-rumped Flycatcher,Myiobius sulphureipygius
SURT,Sulphur-rumped Tanager,Heterospingus rubrifrons
SWPA,Sulphur-winged Parakeet,Pyrrhura hoffmanni
SUWR,Sumichrast's Wren,Hylorchilus sumichrasti
SUTA,Summer Tanager,Piranga rubra
SUNB,Sunbittern,Eurypyga helias
SUNG,Sungrebe,Heliornis fulica
SUSC,Surf Scoter,Melanitta perspicillata
SURF,Surfbird,Calidris virgata
SWHA,Swainson's Hawk,Buteo swainsoni
SWTH,Swainson's Thrush,Catharus ustulatus
SWWA,Swainson's Warbler,Limnothlypis swainsonii
SWTA,Swallow Tanager,Tersina viridis
STGU,Swallow-tailed Gull,Creagrus furcatus
STKI,Swallow-tailed Kite,Elanoides forficatus
SWSP,Swamp Sparrow,Melospiza georgiana
SSTP,Swinhoe's Storm-Petrel,Hydrobates monorhis
TACH,Tacarcuna Chlorospingus,Chlorospingus tacarcunae
TATA,Tacarcuna Tapaculo,Scytalopus panamensis
TAWA,Tacarcuna Warbler,Basileuterus tacarcunae
TAWQ,Tacarcuna Wood-Quail,Odontophorus dialeucos
TAPE,Tahiti Petrel,Pseudobulweria rostrata
TABG,Taiga Bean-Goose,Anser fabalis
TAFL,Taiga Flycatcher,Ficedula albicilla
TAHU,Talamanca Hummingbird,Eugenes spectabilis
TACR,Tamaulipas Crow,Corvus imparatus
TAPO,Tamaulipas Pygmy-Owl,Glaucidium sanchezi
TBFL,Tawny-breasted Flycatcher,Myiobius villosus
TCEU,Tawny-capped Euphonia,Euphonia anneae
TCFL,Tawny-chested Flycatcher,Aphanotriccus capitalis
TCNI,Tawny-collared Nightjar,Antrostomus salvini
TCTA,Tawny-crested Tanager,Tachyphonus delatrii
TCGR,Tawny-crowned Greenlet,Tunchiornis ochraceiceps
TFGN,Tawny-faced Gnatwren,Microbates cinereiventris
TFQU,Tawny-faced Quail,Rhynchortyx cinctus
TSBL,Tawny-shouldered Blackbird,Agelaius humeralis
TTLE,Tawny-throated Leaftosser,Sclerurus mexicanus
TWWO,Tawny-winged Woodcreeper,Dendrocincla anabatina
TEST,Temminck's Stint,Calidris temminckii
TEWA,Tennessee Warbler,Leiothlypis peregrina
TESA,Terek Sandpiper,Xenus cinereus
TBEU,Thick-billed Euphonia,Euphonia laniirostris
TBKI,Thick-billed Kingbird,Tyrannus crassirostris
TBMU,Thick-billed Murre,Uria lomvia
TBPA,Thick-billed Parrot,Rhynchopsitta pachyrhyncha
TBSF,Thick-billed Seed-Finch,Sporophila funerea
TBVI,Thick-billed Vireo,Vireo crassirostris
TBWA,Thick-billed Warbler,Arundinax aedon
THAN,Thicket Antpitta,Hylopezus dives
THTI,Thicket Tinamou,Crypturellus cinnamomeus
TWBE,Three-wattled Bellbird,Procnias tricarunculatus
TIWR,Timberline Wren,Thryorchilus browni
TIHA,Tiny Hawk,Accipiter superciliosus
TOMO,Tody Motmot,Hylomanes momotula
TBHU,Tooth-billed Hummingbird,Androdon aequatorialis
TOTY,Torrent Tyrannulet,Serpophaga cinerea
TOSH,Townsend's Shearwater,Puffinus auricularis
TOSO,Townsend's Solitaire,Myadestes townsendi
TOSP,Townsend's Storm-Petrel,Hydrobates socorroensis
TOWA,Townsend's Warbler,Setophaga townsendi
TRJA,Transvolcanic Jay,Aphelocoma ultramarina
TRPI,Tree Pipit,Anthus trivialis
TRES,Tree Swallow,Tachycineta bicolor
TRBL,Tricolored Blackbird,Agelaius tricolor
TRHE,Tricolored Heron,Egretta tricolor
TRMU,Tricolored Munia,Lonchura malacca
TRPE,Trindade Petrel,Pterodroma arminjoniana
TRSP,Tristram's Storm-Petrel,Hydrobates tristrami
TRGN,Tropical Gnatcatcher,Polioptila plumbea
TRKI,Tropical Kingbird,Tyrannus melancholicus
TRMO,Tropical Mockingbird,Mimus gilvus
TRPA,Tropical Parula,Setophaga pitiayumi
TROP,Tropical Pewee,Contopus cinereus
TRSO,Tropical Screech-Owl,Megascops choliba
TRUS,Trumpeter Swan,Cygnus buccinator
TUDU,Tufted Duck,Aythya fuligula
TUFL,Tufted Flycatcher,Mitrephanes phaeocercus
TUJA,Tufted Jay,Cyanocorax dickeyi
TUPU,Tufted Puffin,Fratercula cirrhata
TUTI,Tufted Titmouse,Baeolophus bicolor
TUBG,Tundra Bean-Goose,Anser serrirostris
TUSW,Tundra Swan,Cygnus columbianus
TUVU,Turkey Vulture,Cathartes aura
TUCO,Turquoise Cotinga,Cotinga ridgwayi
TBMO,Turquoise-browed Motmot,Eumomota superciliosa
TUQD,Tuxtla Quail-Dove,Zentrygon carrikeri
UAIH,Ula-ai-hawane,Ciridops anna
UNJA,Unicolored Jay,Aphelocoma unicolor
UNIC,Uniform Crake,Amaurolimnas concolor
USWO,Unspotted Saw-whet Owl,Aegolius ridgwayi
UPSA,Upland Sandpiper,Bartramia longicauda
VASE,Variable Seedeater,Sporophila corvina
VABU,Varied Bunting,Passerina versicolor
VASO,Varied Solitaire,Myadestes coloratus
VATH,Varied Thrush,Ixoreus naevius
VAFL,Variegated Flycatcher,Empidonomus varius
VASW,Vaux's Swift,Chaetura vauxi
VEER,Veery,Catharus fuscescens
VESC,Velvet Scoter,Melanitta fusca
VETR,Venezuelan Troupial,Icterus icterus
VEMA,Veraguan Mango,Anthracothorax veraguensis
VERD,Verdin,Auriparus flaviceps
VEFL,Vermilion Flycatcher,Pyrocephalus rubinus
VEHU,Vervain Hummingbird,Mellisuga minima
VESP,Vesper Sparrow,Pooecetes gramineus
VIWE,Village Weaver,Ploceus cucullatus
VIQD,Violaceous Quail-Dove,Geotrygon violacea
VISA,Violet Sabrewing,Campylopterus hemileucurus
VBHU,Violet-bellied Hummingbird,Juliamyia julie
VCAH,Violet-capped Hummingbird,Goldmania violiceps
VCHU,Violet-crowned Hummingbird,Amazilia violiceps
VGSW,Violet-green Swallow,Tachycineta thalassina
VHHU,Violet-headed Hummingbird,Klais guimeti
VIRA,Virginia Rail,Rallus limicola
VIWA,Virginia's Warbler,Leiothlypis virginiae
VIDA,Viridian Dacnis,Dacnis viguieri
VITW,Vitelline Warbler,Setophaga vitellina
VOHU,Volcano Hummingbird,Selasphorus flammula
VOJU,Volcano Junco,Junco vulcani
WAAL,Wandering Albatross,Diomedea exulans
WATA,Wandering Tattler,Tringa incana
WAVI,Warbling Vireo,Vireo gilvus
WAJA,Wattled Jacana,Jacana jacana
WAVA,Waved Albatross,Phoebastria irrorata
